epoch,train_acc,val_acc,test_acc,time
0,0.9861111111111112,0.5740740740740741,0.6128710962601208,2022_10_11_12_51_51
5,1.0,0.6322751322751323,0.6668808636422053,2022_10_11_13_36_05
10,1.0,0.6349206349206349,0.6857409073383883,2022_10_11_14_19_56
15,0.9997209821428571,0.6481481481481481,0.6931628325408046,2022_10_11_15_03_27
20,1.0,0.6507936507936508,0.6984963372317183,2022_10_11_15_46_16
25,0.9992559523809523,0.6455026455026455,0.7011309600308444,2022_10_11_16_28_21
30,0.9981863839285714,0.6481481481481481,0.7021269759670994,2022_10_11_17_08_53
35,0.9988567073170732,0.6455026455026455,0.702030587328107,2022_10_11_17_49_05
40,0.9988392857142857,0.6507936507936508,0.7028338259863771,2022_10_11_18_28_37
45,0.9991155660377359,0.6507936507936508,0.7019984577817762,2022_10_11_19_07_57
